Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
会員登録の内容を変更したいのですが。	ログイン後、マイページ内の[会員情報の変更](https://www.kamada.co.jp/mypage/change)から変更いただけます。	https://www.kamada.co.jp/faq		[]	false	[]	1
登録を削除したいのですが。	[お問い合せ：会員登録削除](https://www.kamada.co.jp/contact/input/2)から削除の手続きができます。	https://www.kamada.co.jp/faq		[]	false	[]	2
会員登録は必須ですか。	ご登録いただくと、クーポン等の会員特典サービスやお気に入り機能、ご注文履歴をご利用いただけますので会員登録をお勧めしておりますが、会員登録せずにご注文も可能でございます。	https://www.kamada.co.jp/faq		[]	false	[]	3
ログインができないのですが。	以下の2点をご確認ください。\n\n 1.メールアドレス・パスワードは間違いないでしょうか。\n\n 2.全角・半角の違いではないでしょうか。\n\n上記でもログインできない場合は\n\n電話または[お問い合せ](https://www.kamada.co.jp/contact/input/5)にてお問い合せください。\n\n電話：0120-46-0306\n\n（受付時間／8:00〜17:30 休業日／日・祝）	https://www.kamada.co.jp/faq		[]	false	[]	4
SNSアカウントを使ってログインできますか。	外部サービスのアカウントでもログインできます。\n\n詳しくは[ご利用ガイド](https://www.kamada.co.jp/navi)の**ご注文方法について❹会員ログイン**をご覧ください。	https://www.kamada.co.jp/faq		[]	false	[]	5
先様へ贈り物として注文できますか。	**会員登録された場合**\n\n[マイページ](https://www.kamada.co.jp/mypage)にございます「お届け先・送り主住所の設定」から先様のお名前・ご住所を登録することができます。\n\n**会員登録されない場合**\n\nご注文手続き途中の「お届け先の選択」にて、お届け先を入力してください。\n\n詳しくは[ご利用ガイド](https://www.kamada.co.jp/navi)の**ご注文方法について❻お届け先・送り主の選択**をご覧ください。	https://www.kamada.co.jp/faq		[]	false	[]	6
注文の確認をしたいのですが。	**会員登録された場合**\n\n[ご注文履歴・レビュー投稿](https://www.kamada.co.jp/mypage/order)ページにてご確認ください。\n\n**会員登録されない場合**\n\n電話または[お問い合せ](https://www.kamada.co.jp/contact/input/5)にてお問い合わせください。\n\n電話：0120-46-0306\n\n（受付時間／8:00〜17:30 休業日／日・祝）	https://www.kamada.co.jp/faq		[]	false	[]	7
注文後に変更・キャンセルは可能ですか。	ご注文いただいた際に弊社からお送りする注文受付メール内の**『ご注文内容の変更』**からご変更いただけます。\n\n**会員登録された場合**\n\nお問い合せ：[ご注文内容の変更](https://www.kamada.co.jp/contact/input/1)からでもご注文内容を変更・キャンセルいただけます。	https://www.kamada.co.jp/faq		[]	false	[]	8
海外にも送れますか。	承ります。詳しくは[海外便](https://www.kamada.co.jp/kfi)をご覧ください。	https://www.kamada.co.jp/faq		[]	false	[]	9
カタログが見たいのですが。	[商品カタログ請求](https://www.kamada.co.jp/catalog)にて、商品カタログのご請求を承ります。\n\nご希望のお届け先と部数をご入力ください。お申し込み受付後2営業日以内に発送させていただきます。\n\nまた、商品カタログをPDF形式で用意しております。下記リンクからご覧いただけます。\n\nPDFファイルをお使いのパソコンに保存しておけば、インターネットに接続していなくてもパソコンで自由に閲覧できます。\n\nまた必要な部分だけ印刷することも可能です。\n\n[デジタルカタログを見る](/storage/catalog_pdf/catalog_20sp.pdf#zoom=100)\n\n \n[![Adobe Acrobat Reader](https://www.kamada.co.jp/assets/img/common/Get_Adobe_Acrobat_Reader_DC_web_button_158x39.png)](http://www.adobe.com/go/getreader_jp)	https://www.kamada.co.jp/faq		[]	false	[]	10
クーポンの使い方を知りたいのですが。	クーポンのご利用にはログインをしていることが必須です。\n\nログイン後にお買い物手続きをいただき、『お支払い方法の選択』ページにお客様のご利用できるクーポンが表示されます。ページ内の『**クーポン利用**』に表示されているクーポンのうち、ご利用になられるクーポンをチェックいただくことでご利用いただけます。\n\n[ご利用ガイド［ご注文について⑧］](/navi#block2_8)も合わせてご確認ください。\n\n \n\nまた、クーポンのご利用には利用条件が含まれるものがありますので、そちらも合わせてご確認ください。	https://www.kamada.co.jp/faq		[]	false	[]	11
商品が入る袋のサイズがわからないのですが。	各袋の詳細ページをご参照ください。\n\n・[紙袋(大)](https://www.kamada.co.jp/item/hukuro_l)80円（税込）\n\n・[紙袋(小)](https://www.kamada.co.jp/item/hukuro_s)50円（税込）\n\n・[ビニール袋（大）](https://www.kamada.co.jp/item/pori_l)8円（税込）\n\n・[ビニール袋（小）](https://www.kamada.co.jp/item/pori_s)4円（税込）	https://www.kamada.co.jp/faq		[]	false	[]	12
商品の詰め合せを変更できますか。	はい。詰め合せの変更を承ります。\n\n**200ml商品**\n\n3ヶ・7ヶ・14ヶ単位でご自由にお詰め合せいただけます。\n\n**※500ml商品と200ml商品の詰め合せは致しかねますのでご了承ください。**\n\n商品価格は、ご指定の商品単価×個数となります。\n\n[200ml商品の詰め合せはこちら](https://www.kamada.co.jp/item/200set)\n\n \n**500ml商品**\n\n2本・4本・8本・12本単位でご自由にお詰め合せいただけます。\n\n**※500ml商品と200ml商品の詰め合せは致しかねますのでご了承ください。**\n\n商品価格は、ご指定の商品単価×個数となります。\n\n[500ml商品の詰め合せはこちら](https://www.kamada.co.jp/item/500set)	https://www.kamada.co.jp/faq		[]	false	[]	13
商品を返品したいのですが。	商品は到着後ただちにお調べいただき、商品の間違いや不良等がございましたらすぐにご連絡ください。\n\n送料当社負担にて交換させていただきます。なお、お客様のご都合によるご返品の送料はお客様にご負担いただいております。	https://www.kamada.co.jp/faq		[]	false	[]	14
特定の食品にアレルギーがあります。原材料は何を使用していますか。	各商品ページに原材料を表示しておりますのでご確認ください。	https://www.kamada.co.jp/faq		[]	false	[]	15
放射能検査はしていますか。	はい、自主検査を行っております。詳しくは[安全・安心への取り組み](https://www.kamada.co.jp/safety)をご覧ください。	https://www.kamada.co.jp/faq		[]	false	[]	16
賞味期限を知りたいのですが。	各商品ページに製造からの賞味期間を表示しておりますのでご確認ください。	https://www.kamada.co.jp/faq		[]	false	[]	17
贈答先に商品の価格がわからないようにして欲しいのですが。	ご本人様以外には価格がわかるものは一切入れておりませんので、ご安心ください。	https://www.kamada.co.jp/faq		[]	false	[]	18
支払い方法について教えてください。	クレジットカード、コンビニ振込・郵便振替、楽天ペイ、AmazonPay、Yahoo!ウォレット、代引きがご利用いただけます。	https://www.kamada.co.jp/faq		[]	false	[]	19
支払い方法を変更したいのですが。	お支払い方法によっては変更いただけない場合がございますので、 電話またはお問い合せ：[その他のお問い合せ](https://www.kamada.co.jp/contact/input/5)にてお問い合せください。\n\n電話：0120-46-0306\n\n（受付時間／8:00〜17:30 休業日／日・祝）	https://www.kamada.co.jp/faq		[]	false	[]	20
領収書発行できますか。	ご注文時に「**その他のご要望**」の欄へご入力ください。\n\n宛名・但し書きも合わせてご指示ください。	https://www.kamada.co.jp/faq		[]	false	[]	21
配送業者を教えてください。	ヤマト運輸でお届けいたします。	https://www.kamada.co.jp/faq		[]	false	[]	22
送料はかかりますか。	送料はお客様にご負担いただいております。当サイトでは商品の本体価格をお伝えする為、送料は含めずに表示しております。\n\n詳しくは[ご利用ガイド](https://www.kamada.co.jp/navi)のお届け・送料についてをご覧ください。	https://www.kamada.co.jp/faq		[]	false	[]	23
登録確認・注文確認メールが届かないのですが。	確認メールが届かない原因としましては、\n\n1.登録・注文手続きが完了していない。\n\n2.登録したメールアドレスが間違えている。\n\n3.ご使用のメール設定で、スパムメール（広告や嫌がらせメール）と誤認され処理された。\n\nなどが考えられます。\n\n不明な点は[お問い合せ](https://www.kamada.co.jp/contact/input/5)へお問い合せください。	https://www.kamada.co.jp/faq		[]	false	[]	24
